date,length,age,maturity.words,maturity,stage
9/2/2003,31,10,Immature,0,1
10/7/2002,32,6,Immature,0,1
7/18/2000,32,11,Immature,0,1
6/11/2001,32,11,Immature,0,2
8/8/2000,32,13,Immature,0,2
10/4/2003,33,9,Immature,0,1
7/17/2000,33,10,Immature,0,1
8/18/2002,34,8,Immature,0,1
7/12/2000,34,10,Immature,0,1
7/25/2000,34,11,Immature,0,1
7/17/2000,35,11,Immature,0,1
7/13/2002,35,12,Immature,0,1
7/17/2000,36,10,Immature,0,1
8/6/2000,36,10,Mature,1,2
7/16/2003,36,10,Mature,1,1
7/25/2000,36,12,Immature,0,1
8/27/2003,37,9,Immature,0,1
7/18/2000,37,9,Mature,1,2
7/25/2000,37,11,Immature,0,1
5/13/2000,37,14,Immature,0,1
6/21/2002,37,17,Mature,1,1
8/12/2000,38,10,Immature,0,2
7/18/2000,38,11,Immature,0,2
6/21/2002,38,12,Immature,0,1
6/16/2002,38,18,Mature,1,2
10/3/2003,39,11,Immature,0,2
8/6/2000,39,11,Mature,1,2
5/13/2000,39,13,Immature,0,1
8/30/2002,39,14,Mature,1,6
6/11/2001,40,12,Immature,0,6
8/31/2003,40,12,Mature,1,7
10/6/2003,40,14,Immature,0,1
6/3/2002,40,15,Mature,1,3
8/27/2003,40,16,Immature,0,2
5/10/2000,41,10,Mature,1,4
5/13/2000,41,11,Immature,0,1
7/18/2000,41,11,Mature,1,2
8/18/2002,41,16,Mature,1,6
5/21/2001,41,20,Mature,1,4
6/9/2003,41,21,Mature,1,2
5/26/2002,41,21,Mature,1,2
10/1/2003,42,10,Immature,0,2
7/29/2003,42,13,Mature,1,7
7/25/2000,42,14,Mature,1,7
5/4/2000,42,14,Mature,1,5
10/25/2003,42,15,Mature,1,8
5/4/2000,42,16,Mature,1,5
9/17/2003,42,17,Mature,1,7
7/17/2000,43,12,Mature,1,2
4/7/2001,43,12,Mature,1,3
5/27/2001,43,13,Mature,1,4
6/21/2002,43,16,Mature,1,1
10/7/2002,43,18,Mature,1,1
9/8/2002,43,20,Mature,1,1
9/4/2003,44,14,Immature,0,1
9/9/2003,44,14,Mature,1,7
6/21/2002,44,15,Mature,1,6
10/7/2002,44,16,Mature,1,6
5/4/2003,44,17,Mature,1,3
10/7/2002,44,19,Mature,1,7
5/21/2001,44,20,Mature,1,6
6/16/2003,44,21,Mature,1,3
