Abstract,Label
"Induction of suppressor T cells and inhibition of contact hypersensitivity in mice by 12-O-tetradecanoylphorbol-13-acetate and its analogs. 12-O-tetradecanoylphorbol-13-acetate (TPA) and its analogs were surveyed for their abilities to modify contact hypersensitivity (CHS) responses in SENCAR mice. Sensitization of dorsal skin with 2,4-dinitrofluorobenzene (DNFB) and subsequent challenge of the ear 5 d later resulted within 24 h in ear swelling and increased vascular permeability (as measured by the extravasation of Evans Blue dye). Treatment of dorsal or ventral skin with TPA 4 times (application made every 3 or 4 d) prior to sensitization on the dorsum inhibited subsequent induction of CHS by DNFB challenge. Maximum suppression of CHS required sensitization at the site of TPA treatment. Suppression occurred over a narrow dose range of TPA (0.1-1.0 micrograms), and qualitatively correlated with the tumor incidences scored in an initiation-promotion multistage skin carcinogenesis experiment. Multiple applications (4x) of the promoters phorbol-12,13-dibenzoate (10 micrograms) and mezerein (2 micrograms) also suppressed CHS, whereas the non-promoter phorbol (20 micrograms) and the first stage tumor promoter 4-O-methyl TPA (20 micrograms) had no effect. Adoptive transfer of splenocytes isolated from mice pre-treated with TPA prior to DNFB sensitization inhibited the development of CHS in recipient mice that were sensitized and challenged with DNFB, but not oxazolone. Splenocyte preparations depleted of T lymphocytes prior to transfer could not suppress CHS in recipient mice. Conversely, suppressive activity was concentrated in splenocyte preparations depleted of adherent cells/monocytes. Collectively, these studies demonstrate that TPA treatment of murine epidermis prior to sensitization with hapten can inhibit subsequent hapten-dependent elicitation of CHS. This suppression is mediated in part by antigen-specific suppressor T cells. Furthermore, there is a qualitative correlation between the complete and second stage in vivo tumor-promoting activities of TPA and its analogs, and their abilities to inhibit CHS.",Skin_and_Connective_Tissue_Diseases
Xanthoma in Meckel's cave. A case report. A case of xanthoma located within Meckel's cave and the semilunar ganglion is described in a patient with a trigeminal nerve deficit. This is the first case of xanthoma in such a location. The distinctive morphological appearance is illustrated and the possible histogenesis is discussed.,Skin_and_Connective_Tissue_Diseases
"Analysis of IL-1 and TNF-alpha gene expression in human rheumatoid synoviocytes and normal monocytes by in situ hybridization. Human IL-1 alpha, IL-1 beta, and TNF-alpha mRNA expression was examined in peripheral blood monocytes (PBM) from normal individuals and in primary synoviocytes isolated from patients with rheumatoid arthritis by Northern blot and in situ hybridization. Cells cultured in the presence or absence of LPS were analyzed using in vitro synthesized 35S-labeled sense or antisense RNA probes to determine the relative abundance and the cell type expressing each of the mRNA for these potent inflammatory mediators. The results indicated that 72% of the LPS-stimulated PBM expressed detectable levels of IL-1 alpha mRNA, 89% IL-1 beta mRNA, and 10% TNF-alpha transcripts. Thus, the majority of activated PBM produced both IL-1 alpha and IL-1 beta. Experiments combining immunofluorescence for IL-1 beta protein with in situ hybridization for TNF-alpha mRNA demonstrated that monocytes expressing TNF-alpha mRNA also produced IL-1 beta. Primary synoviocytes from four patients with RA were also examined for the mRNA expression of each cytokine. Northern blot analyses of total RNA isolated from 0 to 72 h after LPS- or mock-stimulation showed that IL-1 beta mRNA was the most abundantly expressed, followed by TNF-alpha. In situ hybridization revealed that IL-1 beta and TNF-alpha transcripts were detected exclusively in synovial tissue macrophages. IL-1 alpha mRNA was not detected in these cultures by either method.",Skin_and_Connective_Tissue_Diseases
"11 beta-hydroxyandrostenedione: a marker of adrenal function in hirsutism. To assess the role of the adrenal glands in the development of hirsutism, levels of 11 beta-hydroxyandrostenedione (11 beta-OHA), 17 alpha-hydroxyprogesterone (17-OHP), dehydroepiandrosterone sulphate (DHEAS), androstenedione (delta 4A), and free and total testosterone (T) were measured in 63 hirsute females and 30 control patients. Six of the hirsute patients had basal levels of 11 beta-OHA and 17-OHP and responses to adrenocorticotropic hormone that were significantly greater than these values in controls and the other hirsute women. These women were designated as having an adrenal source for their hirsutism. Women with polycystic ovarian syndrome and idiopathic hirsutism had normal values of 11 beta-OHA and 17-OHP. Levels of total and free T, DHEAS and delta 4A were significantly higher than control values in all of the hirsute women. This study demonstrates that 11 beta-OHA can be used as a marker to assess the adrenal contribution to hirsutism.",Skin_and_Connective_Tissue_Diseases
"Early treatment with acyclovir for varicella pneumonia in otherwise healthy adults: retrospective controlled study and review. The effect of early acyclovir therapy on the course of varicella pneumonia in previously healthy adults was assessed. Medical records from five university-affiliated medical centers were retrospectively reviewed; included were all immunocompetent adults with a clinical diagnosis of primary varicella, a chest radiograph consistent with varicella pneumonia, and an arterial blood gas measurement indicating significant hypoxia. Of the 38 patients who met the study criteria, 11 had had a course of intravenous acyclovir initiated within the first 36 hours of hospitalization; the mean time from admission to initiation of therapy in this early-treatment group was 9.6 hours. The group that received early acyclovir treatment had a lower mean temperature beginning on the fifth day of hospitalization (37.0 degrees C vs. 37.7 degrees C; P = .011) and a lower mean respiratory rate beginning on the sixth day of hospitalization (21 vs. 28 respirations per minute; P = .004). Early acyclovir therapy also resulted in a significant improvement in oxygenation beginning on the sixth day of hospitalization in patients with follow-up arterial blood gas measurements (P = .035). Thus, early institution of acyclovir therapy is associated with reduction in fever and tachypnea and improvement in oxygenation in otherwise healthy adults with varicella pneumonia.",Virus_Diseases
"Reoperative versus conservative management for gastrointestinal fistulas. Development of a fistula is a serious complication. It is necessary to identify its anatomic and pathologic features, as these can influence the outcome of treatment independent of the primary disease. Electrolyte abnormalities should be addressed as volume deficits are being restored. Sepsis, the most common cause of death in patients with fistulas, must be controlled, and the skin must be protected. Reoperation and conservative management are not opposing forms of therapy but rather are complementary.",Skin_and_Connective_Tissue_Diseases
"Deficiency of calcitonin gene-related peptide in Raynaud's phenomenon. Skin biopsy samples from the fingers of nine patients with primary Raynaud's phenomenon, nine with the disorder associated with systemic sclerosis, and eleven healthy controls were examined by immunocytochemistry. There were no differences between the groups in the distribution of PGP 9.5 (a pan-neuronal marker) immunoreactivity, but there was a significant reduction in the number of calcitonin gene-related peptide (CGRP) immunoreactive neurons in the skin of patients with primary Raynaud's phenomenon and those with systemic sclerosis. These findings implicate dysfunction of the CGRP neurovascular axis in the pathophysiology of Raynaud's phenomenon.",Skin_and_Connective_Tissue_Diseases
"Intraosseous lipomatosis. A case report. We report a case of systemic intraosseous lipomatosis involving the proximal femur, both ends of the tibia, and the tarsal and metatarsal bones. The lesions progressed during a five-year follow-up with a pathological fracture of the tibial plateau. CT scans were characteristic and helpful in diagnosis but MR imaging added little information. Intraosseous lipomatosis is a hamartomatous malformation due to hyperplasia of adipose tissue, and is fundamentally different from solitary benign intraosseous lipoma. Management involves reconstruction of any pathological fracture. Large progressive lesions should be treated by curettage and grafting in an attempt to prevent such fractures.",Skin_and_Connective_Tissue_Diseases
"Urological aspects of Behcet's disease. Behcet's disease, affecting mostly young males in the Mediterranean countries and Japan, is a multi-system disease with urological manifestations. In this prospective study of 100 consecutive patients with newly diagnosed Behcet's disease, we found that 89% of the males had experienced scrotal ulceration and 6% had epididymitis. We also observed sterile urethritis in 3%. Other urological abnormalities appeared to be coincidental findings.",Skin_and_Connective_Tissue_Diseases
"Depression, distress, lymphocyte subsets, and human immunodeficiency virus symptoms on two occasions in HIV-positive homosexual men. We evaluated the extent to which depressive disorders, psychiatric distress, and psychosocial stressors are related to three measures of human immunodeficiency virus (HIV) illness, both cross-sectionally and during a 6-month period, in a community sample of 124 HIV-positive homosexual men. The dependent variables are immune status measured by CD4 and CD8 cell subsets, number of signs and symptoms commonly associated with HIV infection, and a cumulative index of HIV illness stage. We chose to focus on CD4 cell count because it is the immune marker most closely linked to the clinical consequences of HIV infection. We found no relationships between the independent variables and immune status or illness stage. The HIV-positive men who were depressed or distressed or who reported more life stressors had no greater immunosuppression or more advanced illness stage than did the others, either concurrently or across occasions. We did find a suggestive pattern of association between depressive disorders, distress, and stressors and the number of HIV-related symptoms, which warrants further study.",Virus_Diseases
